title,authors,publish_date,journal_name,doi,citations
Evaluation of a nurse practitioner-physician task-sharing model for multidrug-resistant tuberculosis in South Africa,"Jason E. Farley, Norbert Ndjeka, Ana M. Kelly, Erin Whitehouse, Simmi Lachman, Chakra Budhathoki, Kelly Lowensen, Ellie Bergren, Hloniphile Mabuza, Ntombasekhaya Mlandu, Martie van der Walt",published 04 Aug 2017,PLOS ONE,https://doi.org/10.1371/journal.pone.0182780,17
"Missed diagnostic opportunities within South Africa’s early infant diagnosis program, 2010–2015","Ahmad Haeri Mazanderani, Faith Moyo, Gayle G. Sherman",published 11 May 2017,PLOS ONE,https://doi.org/10.1371/journal.pone.0177173,19
Pressure flaking to serrate bifacial points for the hunt during the MIS5 at Sibudu Cave (South Africa),"Veerle Rots, Carol Lentfer, Viola C. Schmid, Guillaume Porraz, Nicholas J. Conard",published 26 Apr 2017,PLOS ONE,https://doi.org/10.1371/journal.pone.0175151,73
Cost-Effectiveness of Community-Based TB/HIV Screening and Linkage to Care in Rural South Africa,"Jennifer A. Gilbert, Sheela V. Shenoi, Anthony P. Moll, Gerald H. Friedland, A. David Paltiel, Alison P. Galvani",published 01 Dec 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0165614,21
Drivers of Bird Species Richness within Moist High-Altitude Grasslands in Eastern South Africa,"David H. Maphisa, Hanneline Smit-Robinson, Les G. Underhill, Res Altwegg",published 05 Oct 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0162609,15
Marginal Structural Models to Assess Delays in Second-Line HIV Treatment Initiation in South Africa,"Julia K. Rohr, Prudence Ive, C. Robert Horsburgh, Rebecca Berhanu, Kate Shearer, Mhairi Maskew, Lawrence Long, Ian Sanne, Jean Bassett, Osman Ebrahim, Matthew P. Fox",published 22 Aug 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0161469,33
Impact and Cost-Effectiveness of Point-Of-Care CD4 Testing on the HIV Epidemic in South Africa,"Alastair Heffernan, Ella Barber, Ranjeeta Thomas, Christophe Fraser, Michael Pickles, Anne Cori",published 08 Jul 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0158303,18
Diversity of,"Muriel Dietrich, Mabotse A. Tjale, Jacqueline Weyer, Teresa Kearney, Ernest C. J. Seamark, Louis H. Nel, Ara Monadjem, Wanda Markotter",published 21 Mar 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0152077,50
Quantitative Risk Assessment for African Horse Sickness in Live Horses Exported from South Africa,"Evan S. Sergeant, John D. Grewar, Camilla T. Weyer, Alan J. Guthrie",published 17 Mar 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0151757,15
Disability and Living with HIV: Baseline from a Cohort of People on Long Term ART in South Africa,"Jill Hanass-Hancock, Hellen Myezwa, Bradley Carpenter",published 01 Dec 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0143936,64
Missed Opportunities for TB Investigation in Primary Care Clinics in South Africa: Experience from the XTEND Trial,"Violet N. Chihota, Sibuse Ginindza, Kerrigan McCarthy, Alison D. Grant, Gavin Churchyard, Katherine Fielding",published 18 Sep 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0138149,44
"Incidence and Geographic Distribution of Extensively Drug-Resistant Tuberculosis in KwaZulu-Natal Province, South Africa","Jennifer R. Lim, Neel R. Gandhi, Thuli Mthiyane, Koleka Mlisana, Julie Moodley, Prenika Jaglal, Neeshan Ramdin, James C. M. Brust, Nazir Ismail, Roxana Rustomjee, N. Sarita Shah",published 06 Jul 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0132076,15
"A Milk and Ochre Paint Mixture Used 49,000 Years Ago at Sibudu, South Africa","Paola Villa, Luca Pollarolo, Ilaria Degano, Leila Birolo, Marco Pasero, Cristian Biagioni, Katerina Douka, Roberto Vinciguerra, Jeannette J. Lucejko, Lyn Wadley",published 30 Jun 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0131273,72
Integrating Community-Based Interventions to Reverse the Convergent TB/HIV Epidemics in Rural South Africa,"Jennifer A. Gilbert, Elisa F. Long, Ralph P. Brooks, Gerald H. Friedland, Anthony P. Moll, Jeffrey P. Townsend, Alison P. Galvani, Sheela V. Shenoi",published 04 May 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0126267,22
"Detection of Transgenes in Local Maize Varieties of Small-Scale Farmers in Eastern Cape, South Africa","Marianne Iversen, Idun M. Grønsberg, Johnnie van den Berg, Klara Fischer, Denis Worlanyo Aheto, Thomas Bøhn",published 31 Dec 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0116147,22
"Uptake of Genital Mucosal Sampling in HVTN 097, a Phase 1b HIV Vaccine Trial in South Africa","Erica Maxine Lazarus, Kennedy Otwombe, Tania Adonis, Elaine Sebastian, Glenda Gray, Nicole Grunenberg, Surita Roux, Gavin Churchyard, Craig Innes, Fatima Laher",published 17 Nov 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0112303,6
Combination HIV Prevention among MSM in South Africa: Results from Agent-based Modeling,"Ron Brookmeyer, David Boren, Stefan D. Baral, Linda- Gail Bekker, Nancy Phaswana-Mafuya, Chris Beyrer, Patrick S. Sullivan",published 14 Nov 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0112668,45
"Clinical Mentorship of Nurse Initiated Antiretroviral Therapy in Khayelitsha, South Africa: A Quality of Care Assessment","Ann Green, Virginia de Azevedo, Gabriela Patten, Mary-Ann Davies, Mary Ibeto, Vivian Cox",published 02 Jun 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0098389,24
"Pregnancy Incidence and Correlates in a Clinical Trial Preparedness Study, North West Province South Africa","Candice M. Chetty-Makkan, Katherine Fielding, Paul J. Feldblum, Matt A. Price, Petra Kruger, Heeran Makkan, Salome Charalambous, Mary H. Latka",published 06 May 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0095708,3
"Community Care Workers, Poor Referral Networks and Consumption of Personal Resources in Rural South Africa","Ilona Sips, Ahmad Haeri Mazanderani, Helen Schneider, Minrie Greeff, Francoise Barten, Mosa Moshabela",published 29 Apr 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0095324,23
A Latent Class Analysis of Stigmatizing Attitudes and Knowledge of HIV Risk among Youth in South Africa,"Lauren Brinkley-Rubinstein, Krista Craven",published 27 Feb 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0089915,7
"Mobile HIV Screening in Cape Town, South Africa: Clinical Impact, Cost and Cost-Effectiveness","Ingrid V. Bassett, Darshini Govindasamy, Alison S. Erlwanger, Emily P. Hyle, Katharina Kranzer, Nienke van Schaik, Farzad Noubary, A. David Paltiel, Robin Wood, Rochelle P. Walensky, Elena Losina, Linda-Gail Bekker, Kenneth A. Freedberg",published 22 Jan 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0085197,47
Correction: Coadministration of Lopinavir/Ritonavir and Rifampicin in HIV and Tuberculosis Co-Infected Adults in South Africa,"Richard A. Murphy, Vincent C. Marconi, Rajesh T. Gandhi, Daniel R. Kuritzkes, Henry Sunpath",published 09 Dec 2013,PLOS ONE,https://doi.org/10.1371/annotation/730cdfd0-78c5-48fc-a095-f633905ff2f0,4
Environmental Influences on the Abundance and Sexual Composition of White Sharks,"Alison V. Towner, Les G. Underhill, Oliver J. D. Jewell, Malcolm J. Smale",published 12 Aug 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0071197,34
"Evaluating the Quality of National Mortality Statistics from Civil Registration in South Africa, 1997–2007","Jané Joubert, Chalapati Rao, Debbie Bradshaw, Theo Vos, Alan D. Lopez",published 27 May 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0064592,46
HIV Prevalence by Race Co-Varies Closely with Concurrency and Number of Sex Partners in South Africa,"Chris Kenyon, Jozefien Buyze, Robert Colebunders",published 21 May 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0064080,48
"Factors Associated with Not Testing For HIV and Consistent Condom Use among Men in Soweto, South Africa","Sakhile Mhlongo, Janan Dietrich, Kennedy N. Otwombe, Gavin Robertson, Thomas J. Coates, Glenda Gray",published 16 May 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0062637,31
Protective Effect of Pregnancy in Rural South Africa: Questioning the Concept of “Indirect Cause” of Maternal Death,"Michel Garenne, Kathleen Kahn, Mark Collinson, Xavier Gómez-Olivé, Stephen Tollman",published 13 May 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0064414,16
"High Prevalence of Tuberculosis and Insufficient Case Detection in Two Communities in the Western Cape, South Africa","Mareli Claassens, Cari van Schalkwyk, Leonie den Haan, Sian Floyd, Rory Dunbar, Paul van Helden, Peter Godfrey-Faussett, Helen Ayles, Martien Borgdorff, Donald Enarson, Nulda Beyers",published 01 Apr 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0058689,27
"Lead Exposure in Adult Males in Urban Transvaal Province, South Africa during the Apartheid Era","Catherine A. Hess, Matthew J. Cooper, Martin J. Smith, Clive N. Trueman, Holger Schutkowski",published 07 Mar 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0058146,5
Validation of Cervical Cancer Screening Methods in HIV Positive Women from Johannesburg South Africa,"Cynthia Firnhaber, Nomtha Mayisela, Lu Mao, Sophie Williams, Avril Swarts, Mark Faesen, Simon Levin, Pam Michelow, Tanvier Omar, Michael G. Hudgens, Anna-Lise Williamson, Bruce Allan, David A. Lewis, Jennifer S. Smith",published 11 Jan 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0053494,96
"Routine HIV Testing in Adolescents and Young Adults Presenting to an Outpatient Clinic in Durban, South Africa","Lynn Ramirez-Avila, Kristy Nixon, Farzad Noubary, Janet Giddy, Elena Losina, Rochelle P. Walensky, Ingrid V. Bassett",published 20 Sep 2012,PLOS ONE,https://doi.org/10.1371/journal.pone.0045507,36
"HIV Incidence Remains High in KwaZulu-Natal, South Africa: Evidence from Three Districts","Annaléne Nel, Zonke Mabude, Jenni Smit, Philip Kotze, Derek Arbuckle, Jian Wu, Neliëtte van Niekerk, Janneke van de Wijgert",published 19 Apr 2012,PLOS ONE,https://doi.org/10.1371/journal.pone.0035278,39
Predictors of Poor CD4 and Weight Recovery in HIV-Infected Children Initiating ART in South Africa,"Brian C. Zanoni, Thuli Phungula, Holly M. Zanoni, Holly France, E. Francis Cook, Margaret E. Feeney",published 16 Mar 2012,PLOS ONE,https://doi.org/10.1371/journal.pone.0033611,19
"The Earliest Post-Paleozoic Freshwater Bivalves Preserved in Coprolites from the Karoo Basin, South Africa","Adam M. Yates, Frank H. Neumann, P. John Hancox",published 02 Feb 2012,PLOS ONE,https://doi.org/10.1371/journal.pone.0030228,15
Pregnant Women's Access to PMTCT and ART Services in South Africa and Implications for Universal Antiretroviral Treatment,"Akthar Hussain, Dhayendre Moodley, Sudhindra Naidoo, Tonya M. Esterhuizen",published 05 Dec 2011,PLOS ONE,https://doi.org/10.1371/journal.pone.0027907,26
The Impact of the New WHO Antiretroviral Treatment Guidelines on HIV Epidemic Dynamics and Cost in South Africa,"Jan A. C. Hontelez, Sake J. de Vlas, Frank Tanser, Roel Bakker, Till Bärnighausen, Marie-Louise Newell, Rob Baltussen, Mark N. Lurie",published 20 Jul 2011,PLOS ONE,https://doi.org/10.1371/journal.pone.0021919,47
Correcting for Mortality Among Patients Lost to Follow Up on Antiretroviral Therapy in South Africa: A Cohort Analysis,"Gilles Van Cutsem, Nathan Ford, Katherine Hildebrand, Eric Goemaere, Shaheed Mathee, Musaed Abrahams, David Coetzee, Andrew Boulle",published 17 Feb 2011,PLOS ONE,https://doi.org/10.1371/journal.pone.0014684,77
"Genome Analysis of Multi- and Extensively-Drug-Resistant Tuberculosis from KwaZulu-Natal, South Africa","Thomas R. Ioerger, Sunwoo Koo, Eun-Gyu No, Xiaohua Chen, Michelle H. Larsen, William R. Jacobs Jr., Manormoney Pillay, A. Willem Sturm, James C. Sacchettini",published 05 Nov 2009,PLOS ONE,https://doi.org/10.1371/journal.pone.0007778,144
Need for Timely Paediatric HIV Treatment within Primary Health Care in Rural South Africa,"Graham S. Cooke, Kirsty E. Little, Ruth M. Bland, Hilary Thulare, Marie-Louise Newell",published 22 Sep 2009,PLOS ONE,https://doi.org/10.1371/journal.pone.0007101,9
"Strengthening health system’s capacity for linkage to HIV care for adolescent girls and young women and adolescent boys and young men in South Africa (SheS’Cap-Linkage): Protocol for a mixed methods study in KwaZulu-Natal, South Africa","Edward Nicol, Wisdom Basera, Carl Lombard, Kim Jonas, Trisha Ramraj, Darshini Govindasamy, Mbuzeleni Hlongwa, Tracy McClinton-Appollis, Vuyelwa Mehlomakulu, Nuha Naqvi, Jason Bedford, Jennifer Drummond, Mireille Cheyip, Sibongile Dladla, Desiree Pass, Noluntu Funani, Cathy Mathews",published 13 Feb 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0271942,0
"Strengthening health system’s capacity for pre-exposure prophylaxis for adolescent girls and young women and adolescent boys and young men in South Africa (SHeS’Cap–PrEP): Protocol for a mixed methods study in KwaZulu-Natal, South Africa","Edward Nicol, Trisha Ramraj, Mbuzeleni Hlongwa, Wisdom Basera, Ngcwalisa Jama, Carl Lombard, Tracy McClinton-Appollis, Darshini Govindasamy, Desiree Pass, Noluntu Funani, Sarah Aheron, Ariana Paredes-Vincent, Jennifer Drummond, Mireille Cheyip, Sibongile Dladla, Jason Bedford, Cathy Mathews",published 17 Mar 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0264808,4
HIV testing in a South African Emergency Department: A missed opportunity,"Bhakti Hansoti, David Stead, Andy Parrish, Steven J. Reynolds, Andrew D. Redd, Madeleine M. Whalen, Nomzamo Mvandaba, Thomas C. Quinn",published 13 Mar 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0193858,42
Genetic Variation in TLR Genes in Ugandan and South African Populations and Comparison with HapMap Data,"Allison R. Baker, Feiyou Qiu, April Kaur Randhawa, David J. Horne, Mark D. Adams, Muki Shey, Jill Barnholtz-Sloan, Harriet Mayanja-Kizza, Gilla Kaplan, Willem A. Hanekom, W. Henry Boom, Thomas R. Hawn, Catherine M. Stein, Tuberculosis Research Unit (TBRU) and South African Tuberculosis Vaccine Initiative Team (SATVI)",published 24 Oct 2012,PLOS ONE,https://doi.org/10.1371/journal.pone.0047597,7
Steatosis in South African women: How much and why?,"Nitien H. Naran, Mark Haagensen, Nigel J. Crowther",published 19 Jan 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0191388,12
Norovirus Epidemiology in Africa: A Review,"Janet Mans, George E. Armah, A. Duncan Steele, Maureen B. Taylor",published 26 Apr 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0146280,68
Asymptomatic Malaria in Refugees Living in a Non-Endemic South African City,"Joyce M. Tsoka-Gwegweni, Uchenna Okafor",published 19 Sep 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0107693,4
Modelling the effect of bednet coverage on malaria transmission in South Sudan,"Abdulaziz Y. A. Mukhtar, Justin B. Munyakazi, Rachid Ouifki, Allan E. Clark",published 07 Jun 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0198280,12
A Diplodocid Sauropod Survivor from the Early Cretaceous of South America,"Pablo A. Gallina, Sebastián Apesteguía, Alejandro Haluza, Juan I. Canale",published 14 May 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0097128,52
HIV prevalence and the cascade of care in five South African correctional facilities,"Kelsey A. Stevenson, Laura J. Podewils, Vincent K. Zishiri, Kenneth G. Castro, Salome Charalambous",published 02 Jul 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0235178,13
Dietary Adequacies among South African Adults in Rural KwaZulu-Natal,"Fariba Kolahdooz, Kerry Spearing, Sangita Sharma",published 25 Jun 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0067184,27
Psychological and Physical Co-Morbidity among Urban South African Women,"Emily Mendenhall, Linda M. Richter, Alan Stein, Shane A. Norris",published 25 Oct 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0078803,17
Dimensions of antenatal care service and the alacrity of mothers towards institutional delivery in South and South East Asia,"Priyanka Dixit, Junaid Khan, Laxmi Kant Dwivedi, Amrita Gupta",published 25 Jul 2017,PLOS ONE,https://doi.org/10.1371/journal.pone.0181793,20
The HIV-1 Subtype C Epidemic in South America Is Linked to the United Kingdom,"Tulio de Oliveira, Deenan Pillay, Robert J. Gifford, for the UK Collaborative Group on HIV Drug Resistance",published 19 Feb 2010,PLOS ONE,https://doi.org/10.1371/journal.pone.0009311,55
Prioritizing COVID-19 vaccine allocation in resource poor settings: Towards an Artificial Intelligence-enabled and Geospatial-assisted decision support framework,"Soheil Shayegh, Javier Andreu-Perez, Caroline Akoth, Xavier Bosch-Capblanch, Shouro Dasgupta, Giacomo Falchetta, Simon Gregson, Ahmed T. Hammad, Mark Herringer, Festus Kapkea, Alvaro Labella, Luca Lisciotto, Luis Martínez, Peter M. Macharia, Paulina Morales-Ruiz, Njeri Murage, Vittoria Offeddu, Andy South, Aleksandra Torbica, Filippo Trentini, Alessia Melegaro",published 10 Aug 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0275037,0
Health-related quality of life in South African patients with pulmonary tuberculosis,"Tanja Kastien-Hilka, Bernd Rosenkranz, Edina Sinanovic, Bryan Bennett, Matthias Schwenkglenks",published 20 Apr 2017,PLOS ONE,https://doi.org/10.1371/journal.pone.0174605,41
Outcomes of HIV-associated pneumocystis pneumonia at a South African referral hospital,"Nondumiso Chiliza, Mariette Du Toit, Sean Wasserman",published 02 Aug 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0201733,13
Program Spending to Increase Adherence: South African Cervical Cancer Screening,"Jeremy D. Goldhaber-Fiebert, Lynette A. Denny, Michelle De Souza, Louise Kuhn, Sue J. Goldie",published 28 May 2009,PLOS ONE,https://doi.org/10.1371/journal.pone.0005691,23
Lessons from the evaluation of the South African National Female Condom Programme,"Mags Beksinska, Phumla Nkosi, Zonke Mabude, Joanne E. Mantell, Bongiwe Zulu, Cecilia Milford, Jennifer A. Smit",published 13 Aug 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0236984,11
Optic neuritis: A South African hospital-based prospective study protocol,"Naseer Ally, Hassan Dawood Alli, Trishal Jeeva-Patel, Andre Mochan, Eitzaz Sadiq, Ismail Mayet, Marianne Kuenast, Leisha Rajkumar",published 10 Jun 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0269514,1
The burden of dyslipidaemia and factors associated with lipid levels among adults in rural northern Ghana: An AWI-Gen sub-study,"Godfred Agongo, Engelbert Adamwaba Nonterah, Cornelius Debpuur, Lucas Amenga-Etego, Stuart Ali, Abraham Oduro, Nigel J. Crowther, Michèle Ramsay, as members of AWI-Gen and the H3Africa Consortium",published 28 Nov 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0206326,29
Trends in cigarette demand and supply in Africa,"Nicole Vellios, Hana Ross, Anne-Marie Perucic",published 17 Aug 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0202467,32
Rising Diabetes Prevalence among Urban-Dwelling Black South Africans,"Nasheeta Peer, Krisela Steyn, Carl Lombard, Estelle V. Lambert, Bavanisha Vythilingum, Naomi S. Levitt",published 04 Sep 2012,PLOS ONE,https://doi.org/10.1371/journal.pone.0043336,153
Patterns of cancer in Wolaita Sodo University Hospital: South Ethiopia,"Yitbarek M. Kibret, Yohannes A. Leka, Natnael F. Tekle, Wondemagegnehu Tigeneh",published 06 Oct 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0274792,1
Implications of high species turnover on the south-western Australian sandplains,"Neil Gibson, Suzanne Prober, Rachel Meissner, Stephen van Leeuwen",published 28 Feb 2017,PLOS ONE,https://doi.org/10.1371/journal.pone.0172977,23
Use of modelling tools to assess climate change impacts on smallholder oil seed yields in South Africa,"Priscilla Ntuchu Kephe, Siyabusa Mkuhlani, Farirai Rusere, Abel Chemura",published 07 May 2024,PLOS ONE,https://doi.org/10.1371/journal.pone.0301254,0
"Correction: What works in engaging communities? Prioritising nutrition interventions in Burkina Faso, Ghana and South Africa",The PLOS ONE Staff,published 14 Mar 2024,PLOS ONE,https://doi.org/10.1371/journal.pone.0300859,0
Climate finance and women-hunger alleviation in the global south: Is the Sub-Saharan Africa case any different?,"Isaac Doku, Andrew Phiri",published 05 Feb 2024,PLOS ONE,https://doi.org/10.1371/journal.pone.0290274,0
"Exploring perceptions of gender roles amongst sexually active adolescents in rural KwaZulu-Natal, South Africa","Brett Marshall, Celia Mehou-Loko, Sindisiwe Mazibuko, Makhosazana Madladla, Lucia Knight, Hilton Humphries",published 18 Jan 2024,PLOS ONE,https://doi.org/10.1371/journal.pone.0296806,0
Family influences on oral PrEP use among adolescent girls and young women in Kenya and South Africa,"Makhosazane Nomhle Ndimande-Khoza, Ariana W. K. Katz, Sinead Moretlwe-Delany, Danielle Travill, Elzette Rousseau, Victor Omollo, Jennifer Morton, Rachel Johnson, Linda-Gail Bekker, Elizabeth A. Bukusi, Jared Baeten, Connie Celum, Ariane van der Straten, Sarah T. Roberts",published 14 Nov 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0292529,0
"Profile and outcome of multiple myeloma with and without HIV treated at a tertiary hospital in KwaZulu-Natal, South Africa","Lungisile Hildegard Chili, Irene Mackraj, Nadine Rapiti",published 25 Oct 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0287304,1
"Impacts of Covid-19 on mental health service provision in the Western Cape, South Africa: The MASC study","Thandi Davies, Ingrid Daniels, Marinda Roelofse, Carol Dean, John Parker, Charlotte Hanlon, Graham Thornicroft, Katherine Sorsdahl",published 28 Aug 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0290712,1
"School attendance among refugee children with disabilities residing in South Africa: A cross-sectional, descriptive study","Nicole De Wet-Billings, Khuthala Mabetha",published 19 May 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0279671,1
Determinants of anaemia among women of reproductive age in South Africa: A Healthy Life Trajectories Initiative (HeLTI),"Takana M. Silubonde, Cornelius M. Smuts, Lisa J. Ware, Glory Chidumwa, Linda Malan, Shane A. Norris",published 30 Mar 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0283645,1
"Mental distress, COVID19 vaccine distrust and vaccine hesitancy in South Africa: A causal mediation regression analysis","Umakrishnan Kollamparambil, Adeola Oyenubi, Chijioke Nwosu",published 24 Mar 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0278218,1
Human resource time commitments and associated costs of Community Caregiver outreach team operations in South Africa,"Rachel Mukora, Ryan R. Thompson, Piotr Hippner, Resignation Pelusa, Martha Mothibi, Richard Lessells, Alison D. Grant, Katherine Fielding, Kavindhran Velen, Salome Charalambous, David W. Dowdy, Hojoon Sohn",published 06 Mar 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0282425,0
"Progression of chronic kidney disease among black patients attending a tertiary hospital in Johannesburg, South Africa","Alfred Meremo, Graham Paget, Raquel Duarte, Deogratius Bintabara, Saraladevi Naicker",published 13 Feb 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0276356,2
Implementation and effectiveness of a linkage to HIV care intervention in rural South Africa (ANRS 12249 TasP trial),"Mélanie Plazy, Adama Diallo, Thabile Hlabisa, Nonhlanhla Okesola, Collins Iwuji, Kobus Herbst, Sylvie Boyer, France Lert, Nuala McGrath, Deenan Pillay, François Dabis, Joseph Larmarange, Joanna Orne-Gliemann, for the ANRS TasP Study Group",published 20 Jan 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0280479,3
"A marine isotope stage 11 coastal Acheulian workshop with associated wood at Amanzi Springs Area 1, South Africa","Andy I. R. Herries, Lee J. Arnold, Giovanni Boschian, Alexander F. Blackwood, Coen Wilson, Tom Mallett, Brian Armstrong, Martina Demuro, Fiona Petchey, Matthew Meredith-Williams, Paul Penzo-Kajewski, Matthew V. Caruana",published 20 Oct 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0273714,11
"Investigating the quality of HIV rapid testing practices in public antenatal health care facilities, South Africa","Duduzile F. Nsibande, Selamawit A. Woldesenbet, Adrian Puren, Peter Barron, Vincent I. Maduna, Carl Lombard, Mireille Cheyip, Mary Mogashoa, Yogan Pillay, Vuyolwethu Magasana, Trisha Ramraj, Tendesayi Kufa, Gurpreet Kindra, Ameena Goga, Witness Chirinda",published 29 Aug 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0268687,1
High HIV incidence among young women in South Africa: Data from a large prospective study,"Thesla Palanee-Phillips, Helen V. Rees, Kate B. Heller, Khatija Ahmed, Joanne Batting, Ivana Beesham, Renee Heffron, Jessica Justman, Heeran Makkan, Timothy D. Mastro, Susan A. Morrison, Nelly Mugo, Gonasagrie Nair, James Kiarie, Neena M. Philip, Melanie Pleaner, Krishnaveni Reddy, Pearl Selepe, Petrus S. Steyn, Caitlin W. Scoville, Jenni Smit, Katherine K. Thomas, Deborah Donnell, Jared M. Baeten, for the ECHO Trial Consortium",published 03 Jun 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0269317,7
"The evaluation of biological indices to assess the condition of hillslope seep wetlands in the Tsitsa River Catchment, South Africa","Notiswa Libala, Carolyn G. Palmer, Oghenekaro Nelson Odume",published 18 May 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0251370,4
Strengthening health systems to improve the value of tuberculosis diagnostics in South Africa: A cost and cost-effectiveness analysis,"Nicola Foster, Lucy Cunnama, Kerrigan McCarthy, Lebogang Ramma, Mariana Siapka, Edina Sinanovic, Gavin Churchyard, Katherine Fielding, Alison D. Grant, Susan Cleary",published 14 May 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0251547,3
"Selection preferences for animal species used in bone-tool-manufacturing strategies in KwaZulu-Natal, South Africa","Justin Bradfield, Andrew C. Kitchener, Michael Buckley",published 01 Apr 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0249296,10
Land snail biogeography and endemism in south-eastern Africa: Implications for the Maputaland-Pondoland-Albany biodiversity hotspot,"Sandun J. Perera, David G. Herbert, Şerban Procheş, Syd Ramdhani",published 04 Mar 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0248040,6
"Higher SARS-CoV-2 seroprevalence in workers with lower socioeconomic status in Cape Town, South Africa","Jane Alexandra Shaw, Maynard Meiring, Tracy Cummins, Novel N. Chegou, Conita Claassen, Nelita Du Plessis, Marika Flinn, Andriette Hiemstra, Léanie Kleynhans, Vinzeigh Leukes, Andre G. Loxton, Candice MacDonald, Nosipho Mtala, Helmuth Reuter, Donald Simon, Kim Stanley, Gerard Tromp, Wolfgang Preiser, Stephanus T. Malherbe, Gerhard Walzl",published 25 Feb 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0247852,51
"Predictors of antiretroviral therapy initiation in eThekwini (Durban), South Africa: Findings from a prospective cohort study","Karla Therese L. Sy, Shema Tariq, Gita Ramjee, Kelly Blanchard, Cheng-Shiun Leu, Elizabeth A. Kelvin, Theresa M. Exner, Anisha D. Gandhi, Naomi Lince-Deroche, Joanne E. Mantell, Lucia F. O’Sullivan, Susie Hoffman",published 19 Feb 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0246744,3
Associations of gamma-glutamyl transferase with cardio-metabolic diseases in people living with HIV infection in South Africa,"Kim A. Nguyen, Nasheeta Peer, Andre P. Kengne",published 05 Feb 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0246131,3
"Perceived barriers to the uptake of health services among first-year university students in Johannesburg, South Africa","Nozipho Orykah Musakwa, Jacob Bor, Cornelius Nattey, Elisabet Lönnermark, Peter Nyasulu, Lawrence Long, Denise Evans",published 22 Jan 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0245427,8
